# ######################################################
# #   Retos de criptoanálisis (cálculo de logaritmo discreto)
# ######################################################
#
#
# Cada reto tiene la siguiente estructura:
#
# # n, m, alfa, beta, orden
#
# donde:
#
# # n <entero>         // talla - en bits - del problema
# # m                        // valor del módulo (valor público)
# # alfa <entero>     // valor del módulo (valor público)
# # beta <entero>    // valor del módulo (valor "a atacar")
# # orden <entero>  // tamaño del grupo generado por alfa
#
#
# Como resultado se busca el valor  t  tal que
#
#            alfa^t mod m = beta
#
# ######################################################
#
8, 487, 33, 303, 243
8, 239, 7, 184, 238
10, 1109, 19, 274, 277
10, 587, 3, 253, 293
16, 55243, 22, 37205, 27621
16, 33967, 12, 5380, 33966
24, 14005903, 3, 1719661, 14005902
24, 11841217, 7, 10636334, 11841216
32, 3094892893, 2, 1522407915, 3094892892
32, 3326067959, 2, 2511005899, 1663033979
32, 3477400219, 2, 1293026566, 3477400218
40, 585690427969, 14, 1522407915, 585690427968
40, 1014737275411, 2, 395876192038, 1014737275410
40, 806063375303, 9, 76459730172, 1532439877
42, 4026115085191, 2, 1112211128233, 1109122613
42, 3159178655389, 6, 906853386948, 3159178655388
48, 157943476947589, 18, 64105273102320, 157943476947588
48, 151732359124807, 3, 66390011715677, 151732359124806
56, 50706744607866587, 2, 49949487057687153, 50706744607866586
56, 47480798241351373, 7, 47149932582980243, 47480798241351372
64, 10682326048905763339, 2, 3039391640950870698, 10682326048905763338
64, 11101060710992442703, 3, 8801837412471574086, 11101060710992442702
72, 2640542246055557984417, 3, 1694646066657050180868, 2640542246055557984416
72, 3791776373494906674551, 13, 1120662554497355909038, 3791776373494906674550
80, 1136592843853701794213057, 2, 39796812796534662838566, 568296421926850897106528
80, 1096144341916777566342011, 2, 945982223985902635186737, 1096144341916777566342010
88, 230000044920026997966715553, 3, 119304843392346175036415317, 230000044920026997966715552
88, 173970438648111591280076239, 3, 57792856514275593805353234, 173970438648111591280076238
96, 57647104740778042149185725037, 2, 29813463629786112192144110311, 57647104740778042149185725036
96, 45072592346810743068507630469, 2, 37849805370540698811218342245, 45072592346810743068507630468
112, 4294501747310268885170141187357397, 2, 314038821203717159390147351786700, 4294501747310268885170141187357396
112, 4063980945934147579598679882732049, 11, 2830348114333426079378706100862973, 4063980945934147579598679882732048
128, 228498549268213569174378242678570226499, 2, 87015214239448208550685012717390728076, 228498549268213569174378242678570226498
128, 239673438710639278239885186617780790023, 5, 171140005397182624094578918885755912335, 239673438710639278239885186617780790022
144, 11582633876981634810615242332560413371958173, 2, 1424562282744920541282539962399770231651578, 11582633876981634810615242332560413371958172
144, 12845286081108922988922300309460317570299749, 2, 4640392544681488169255953557137184091524552, 12845286081108922988922300309460317570299748
160, 777950508619105816750126311363752162593664834647, 5, 560493618885270894962532600189256102303564018030, 777950508619105816750126311363752162593664834646
160, 1280023458563324049021085352057181012808970036983, 3, 242879184007917695294193018715263524441579617581, 1280023458563324049021085352057181012808970036982
192, 3156753361794935773656521469579174764965763410765468541027, 2, 1576759254285440296784809157840390505975835520922989250541, 3156753361794935773656521469579174764965763410765468541026
192, 3298609250838074255239290092255014471225108438431587290357, 2, 1334064386688848432882788329723360745195677804302598804980, 3298609250838074255239290092255014471225108438431587290356
# ######################################################
# DESCARTES DE MEZCLAR
8, 487, 33, 303, 243
8, 239, 7, 184, 238
10, 1109, 19, 274, 277
10, 587, 3, 253, 293
16, 55243, 22, 37205, 27621
16, 33967, 12, 5380, 33966
24, 14005903, 3, 1719661, 14005902
24, 11841217, 7, 10636334, 11841216
32, 3094892893, 2, 1522407915, 3094892892
32, 3326067959, 2, 2511005899, 1663033979
32, 3477400219, 2, 1293026566, 3477400218
40, 585690427969, 14, 1522407915, 585690427968
40, 1014737275411, 2, 395876192038, 1014737275410
40, 806063375303, 9, 76459730172, 1532439877
42, 4026115085191, 2, 1112211128233, 1109122613
42, 3159178655389, 6, 906853386948, 3159178655388
48, 157943476947589, 18, 64105273102320, 157943476947588
48, 151732359124807, 3, 66390011715677, 151732359124806
56, 50706744607866587, 2, 49949487057687153, 50706744607866586
56, 47480798241351373, 7, 47149932582980243, 47480798241351372
64, 10682326048905763339, 2, 3039391640950870698, 10682326048905763338
64, 11101060710992442703, 3, 8801837412471574086, 11101060710992442702
72, 2640542246055557984417, 3, 1694646066657050180868, 2640542246055557984416
72, 3791776373494906674551, 13, 1120662554497355909038, 3791776373494906674550
80, 1136592843853701794213057, 2, 39796812796534662838566, 568296421926850897106528
80, 1096144341916777566342011, 2, 945982223985902635186737, 1096144341916777566342010
88, 230000044920026997966715553, 3, 119304843392346175036415317, 230000044920026997966715552
88, 173970438648111591280076239, 3, 57792856514275593805353234, 173970438648111591280076238
96, 57647104740778042149185725037, 2, 29813463629786112192144110311, 57647104740778042149185725036
96, 45072592346810743068507630469, 2, 37849805370540698811218342245, 45072592346810743068507630468
112, 4294501747310268885170141187357397, 2, 314038821203717159390147351786700, 4294501747310268885170141187357396
112, 4063980945934147579598679882732049, 11, 2830348114333426079378706100862973, 4063980945934147579598679882732048
128, 228498549268213569174378242678570226499, 2, 87015214239448208550685012717390728076, 228498549268213569174378242678570226498
128, 239673438710639278239885186617780790023, 5, 171140005397182624094578918885755912335, 239673438710639278239885186617780790022
