# Conjunto de retos de logaritmo discreto.
# Cada linea describe un reto con la siguiente estructura:
# n, p, alpha, beta, orden.
# donde,
# 	 n <entero>: Taman~o del problema (en bits)
# 	 p <entero>: valor del mo'dulo
# 	 alpha <entero>: generador considerado
# 	 beta <entero>: resultado de a^t mod p
# 	 p <entero>: orden del grupo generado por alpha
#
8, 229, 100, 81, 114
8, 229, 100, 153, 114
8, 229, 100, 214, 114
8, 229, 100, 45, 114
8, 229, 100, 226, 114
8, 229, 100, 62, 114
8, 229, 100, 220, 114
8, 229, 100, 51, 114
8, 229, 100, 55, 114
8, 229, 100, 130, 114
8, 229, 100, 58, 114
8, 229, 100, 3, 114
8, 229, 100, 37, 114
8, 229, 100, 213, 114
8, 229, 100, 20, 114
8, 229, 100, 228, 114
8, 229, 100, 78, 114
8, 229, 100, 125, 114
8, 229, 100, 100, 114
8, 229, 100, 224, 114
8, 229, 100, 103, 114
8, 229, 100, 129, 114
8, 229, 100, 19, 114
8, 229, 100, 121, 114
8, 229, 100, 78, 114
8, 229, 100, 158, 114
8, 229, 100, 121, 114
8, 229, 100, 193, 114
8, 229, 100, 168, 114
8, 229, 100, 130, 114
8, 229, 100, 99, 114
8, 229, 100, 80, 114
8, 229, 100, 78, 114
8, 229, 100, 126, 114
8, 229, 100, 99, 114
8, 229, 100, 174, 114
8, 229, 100, 25, 114
8, 229, 100, 210, 114
8, 229, 100, 165, 114
8, 229, 100, 27, 114
8, 229, 100, 57, 114
8, 229, 100, 99, 114
8, 229, 100, 108, 114
8, 229, 100, 183, 114
8, 229, 100, 184, 114
8, 229, 100, 60, 114
8, 229, 100, 76, 114
8, 229, 100, 100, 114
8, 229, 100, 37, 114
8, 229, 100, 218, 114
8, 229, 6, 77, 228
8, 229, 6, 52, 228
8, 229, 6, 119, 228
8, 229, 6, 184, 228
8, 229, 6, 139, 228
8, 229, 6, 181, 228
8, 229, 6, 164, 228
8, 229, 6, 96, 228
8, 229, 6, 63, 228
8, 229, 6, 223, 228
8, 229, 6, 123, 228
8, 229, 6, 190, 228
8, 229, 6, 17, 228
